items,N,best,worst,wins,fav_score
TMS14F1223P0007,2,100.00,0.00,100.00,100.00
TMS13F1343P0022,2,100.00,0.00,100.00,100.00
TMS-IBA961632,2,100.00,0.00,100.00,100.00
TMEB693,2,100.00,0.00,100.00,100.00
TMS14F1291P0003,2,50.00,0.00,100.00,50.00
TMS13F2110P0008,2,50.00,0.00,100.00,50.00
TMS13F1307P0016,2,50.00,0.00,100.00,50.00
IITA-TMS-IBA980581,2,50.00,0.00,100.00,50.00
IITA-TMS-IBA30572,2,50.00,0.00,100.00,50.00
IITA-TMS-IBA000070,2,50.00,0.00,100.00,50.00
TMS14F1291P0012,2,50.00,50.00,50.00,0.00
TMS14F1287P0008,2,50.00,50.00,50.00,0.00
TMS14F1195P0005,2,50.00,50.00,50.00,0.00
TMS14F1035P0004,2,0.00,0.00,100.00,0.00
TMS13F1343P0044,3,33.33,33.33,66.67,0.00
TMS13F1153P0001,2,0.00,0.00,100.00,0.00
TMS13F1088P0007,2,50.00,50.00,50.00,0.00
TMS13F1053P0010,2,50.00,50.00,50.00,0.00
K195,2,50.00,50.00,50.00,0.00
TMS14F1310P0004,2,0.00,50.00,50.00,-50.00
TMS14F1306P0015,2,0.00,50.00,50.00,-50.00
TMS14F1301P0013,2,0.00,50.00,50.00,-50.00
TMS14F1301P0004,2,0.00,50.00,50.00,-50.00
TMS13F1343P0002,2,0.00,50.00,50.00,-50.00
TMS13F1160P0004,2,0.00,50.00,50.00,-50.00
TMEB419,2,0.00,50.00,50.00,-50.00
TMEB2,2,0.00,50.00,50.00,-50.00
TMS14F1310P0015,3,0.00,66.67,33.33,-66.67
TMEB7,3,0.00,66.67,33.33,-66.67
TMS13F1049P0001,2,0.00,100.00,0.00,-100.00