items,N,best,worst,wins,fav_score,
TMS13F2110P0008,2,100,0,100,100,
TMS13F1307P0016,2,100,0,100,100,
TMS-IBA961632,2,100,0,100,100,
TMEB693,2,100,0,100,100,
IITA-TMS-IBA000070,2,100,0,100,100,
TMS14F1223P0007,2,50,0,100,50,
K195,2,50,0,100,50,
IITA-TMS-IBA980581,2,50,0,100,50,
TMS14F1301P0013,2,50,50,50,0,
TMS14F1301P0004,2,0,0,100,0,
TMS14F1291P0012,2,50,50,50,0,
TMS14F1291P0003,2,0,0,100,0,
TMS14F1287P0008,2,50,50,50,0,
TMS13F1343P0044,3,0,0,100,0,
TMS13F1343P0022,2,50,50,50,0,
TMS13F1343P0002,2,0,0,100,0,
TMS13F1088P0007,2,50,50,50,0,
TMS13F1049P0001,2,50,50,50,0,
TMEB7,3,33.33333333,33.33333333,66.66666667,0,
TMS14F1310P0015,3,33.33333333,66.66666667,33.33333333,-33.33333333,
TMS14F1310P0004,2,0,50,50,-50,
TMS14F1195P0005,2,0,50,50,-50,
TMS14F1035P0004,2,0,50,50,-50,
TMS13F1160P0004,2,0,50,50,-50,
TMS13F1153P0001,2,0,50,50,-50,
TMS13F1053P0010,2,0,50,50,-50,
TMEB419,2,0,50,50,-50,
IITA-TMS-IBA30572,2,0,50,50,-50,
TMS14F1306P0015,2,0,100,0,-100,
TMEB2,2,0,100,0,-100,